Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross income,Rating,Datetime
750-67-8428,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,Ewallet,522.83,26.1415,9.1,2019-01-05 13:08:00
226-31-3081,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,Cash,76.4,3.82,9.6,2019-03-08 10:29:00
631-41-3108,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,Credit card,324.31,16.2155,7.4,2019-03-03 13:23:00
123-19-1176,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,Ewallet,465.76,23.288,8.4,2019-01-27 20:33:00
373-73-7910,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,Ewallet,604.17,30.2085,5.3,2019-02-08 10:37:00
699-14-3026,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,Ewallet,597.73,29.8865,4.1,2019-03-25 18:30:00
355-53-5943,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,Ewallet,413.04,20.652,5.8,2019-02-25 14:36:00
315-22-5665,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,Ewallet,735.6,36.78,8.0,2019-02-24 11:38:00
665-32-9167,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,Credit card,72.52,3.626,7.2,2019-01-10 17:15:00
692-92-5582,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,Credit card,164.52,8.226,5.9,2019-02-20 13:27:00
351-62-0822,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,Ewallet,57.92,2.896,4.5,2019-02-06 18:07:00
529-56-3974,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,Cash,102.04,5.102,6.8,2019-03-09 17:03:00
365-64-0515,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,Ewallet,234.75,11.7375,7.1,2019-02-12 10:25:00
252-56-2699,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,Ewallet,431.9,21.595,8.2,2019-02-07 16:48:00
829-34-3910,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,Cash,713.8,35.69,5.7,2019-03-29 19:21:00
299-46-1805,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,Cash,562.32,28.116,4.5,2019-01-15 16:19:00
656-95-9349,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,Credit card,482.51,24.1255,4.6,2019-03-11 11:03:00
765-26-6951,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,Credit card,435.66,21.783,6.9,2019-01-01 10:39:00
329-62-1586,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,Credit card,164.01,8.2005,8.6,2019-01-21 18:00:00
319-50-3348,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,Ewallet,80.6,4.03,4.4,2019-03-11 15:30:00
300-71-4605,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,Ewallet,430.2,21.51,4.8,2019-02-25 11:24:00
371-85-5789,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,Ewallet,263.94,13.197,5.1,2019-03-05 10:40:00
273-16-6619,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,Credit card,66.4,3.32,4.4,2019-03-15 12:20:00
636-48-8204,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,Ewallet,172.8,8.64,9.9,2019-02-17 11:15:00
549-59-1358,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,Ewallet,265.89,13.2945,6.0,2019-03-02 17:36:00
227-03-5010,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,Credit card,420.72,21.036,8.5,2019-03-22 19:20:00
649-29-6775,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,Cash,33.52,1.676,6.7,2019-02-08 15:31:00
189-17-4241,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,Credit card,175.34,8.767,7.7,2019-03-10 12:17:00
145-94-9061,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,Cash,441.8,22.09,9.6,2019-01-25 19:48:00
848-62-7243,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,Cash,224.01,11.2005,7.4,2019-03-15 15:36:00
871-79-8483,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,Credit card,470.65,23.5325,4.8,2019-02-25 19:39:00
149-71-6266,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,Cash,702.63,35.1315,4.5,2019-01-28 12:43:00
640-49-2076,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,Cash,670.24,33.512,5.1,2019-01-10 14:49:00
